,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,f1,f1,f1,f1,f1,f1,f1,f1,f1,f1,f1,f1,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,recall,recall,recall,recall,recall,recall,recall
data_type,during,during,during,equal,equal,equal,mix,mix,mix,overlap,overlap,overlap,during,during,during,equal,equal,equal,mix,mix,mix,overlap,overlap,overlap,during,during,during,equal,equal,equal,mix,mix,mix,overlap,overlap,overlap,during,during,during,equal,equal,equal,mix,mix,mix,overlap,overlap,overlap,during,during,during,equal,equal,equal,mix,mix,mix,overlap,overlap,overlap
mode,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot,default,few_shot,few_shot_cot
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1-Distill-Llama-8B,54.3,24.5,32.1,74.8,45.9,59.4,40.5,3.2,0.0,0.6,25.7,1.7,66.7,29.1,37.6,76.7,49.0,64.0,58.4,20.0,21.5,0.6,29.5,1.7,79.0,33.7,43.1,78.7,52.2,68.7,76.3,36.7,43.1,0.7,33.3,1.8,76.9,38.7,49.1,80.4,55.5,73.6,81.5,56.8,69.4,0.8,37.4,1.8,85.5,31.4,40.3,77.9,50.6,66.3,76.1,27.9,31.6,0.7,31.4,1.8
DeepSeek-R1-Distill-Qwen-1.5B,10.8,8.9,7.5,12.2,8.7,10.6,5.3,0.0,0.0,10.6,11.9,8.6,13.6,10.6,9.4,12.8,9.7,12.0,12.8,7.7,7.4,12.6,13.5,10.3,16.5,12.4,11.3,13.5,10.7,13.4,20.3,15.4,14.8,14.7,15.0,12.1,17.0,14.3,13.5,14.1,11.7,15.1,26.7,25.0,23.8,14.8,16.7,14.1,17.1,11.5,10.3,13.1,10.2,12.6,17.5,11.3,10.8,15.5,14.2,11.2
DeepSeek-R1-Distill-Qwen-7B,35.5,13.3,15.7,66.1,14.2,26.6,25.6,0.4,0.0,37.1,12.4,15.5,46.4,16.9,19.5,67.8,16.9,28.9,44.4,13.7,12.6,46.8,16.1,19.3,57.2,20.5,23.3,69.6,19.5,31.2,63.1,27.0,25.2,56.5,19.8,23.1,55.7,23.0,25.4,71.3,22.5,33.6,70.8,42.1,39.0,55.0,21.9,25.1,62.5,19.8,23.0,69.0,18.2,30.1,61.5,20.5,19.2,62.1,19.7,23.2
Llama-3.1-8B-Instruct,41.4,32.3,0.9,56.85,80.25,3.8000000000000003,32.25,15.4,0.0,47.65,54.8,1.05,47.099999999999994,37.4,1.0,58.449999999999996,82.95,3.9000000000000004,45.75,35.9,0.1,51.7,59.15,1.05,52.75,42.6,1.1,60.05,85.75,3.95,59.2,56.449999999999996,0.15,55.7,63.55,1.05,53.8,48.2,1.3,61.25,88.4,4.05,70.3,80.4,0.25,56.35,68.4,1.05,54.15,39.9,1.1,59.55,84.4,3.95,54.15,45.8,0.1,56.95,61.3,1.05
Llama-3.2-1B-Instruct,15.65,16.95,2.5,18.65,23.349999999999998,1.3,1.95,0.5,0.0,15.149999999999999,18.6,1.45,19.1,20.85,2.75,20.65,25.2,1.3,11.8,12.299999999999999,0.1,17.9,21.35,1.45,22.55,24.8,2.95,22.599999999999998,27.1,1.3,21.6,24.049999999999997,0.2,20.6,24.15,1.45,26.049999999999997,29.0,3.2,24.9,29.35,1.3,33.7,39.05,0.35,23.45,27.1,1.45,21.05,22.8,2.85,21.5,26.099999999999998,1.3,16.4,17.75,0.15,19.4,22.7,1.45
Llama-3.2-3B-Instruct,34.2,17.0,0.7,37.4,18.6,0.2,20.2,1.6,0.0,37.5,19.3,0.2,37.6,20.5,0.8,39.0,21.0,0.3,33.4,14.1,0.0,40.1,21.9,0.2,41.0,24.0,0.9,40.6,23.4,0.4,46.6,26.6,0.1,42.7,24.5,0.2,44.7,28.0,1.0,42.4,26.1,0.5,61.5,42.3,0.2,45.2,27.5,0.2,39.4,22.2,0.9,39.8,22.1,0.3,39.9,20.0,0.1,41.6,23.2,0.2
Mistral-7B-Instruct-v0.3,28.9,36.6,0.0,56.0,51.6,0.0,6.9,12.3,0.0,30.5,42.4,0.0,33.6,42.2,0.0,58.2,54.4,0.0,25.2,31.1,0.0,33.6,45.9,0.0,38.3,47.8,0.0,60.5,57.2,0.0,43.4,50.0,0.0,36.7,49.3,0.0,42.1,53.9,0.0,62.6,60.1,0.0,62.8,71.0,0.0,39.4,53.0,0.0,36.9,44.9,0.0,59.4,55.8,0.0,34.5,40.4,0.0,35.9,47.6,0.0
Qwen3-1.7B,7.6,11.4,0.0,6.9,12.8,0.5,0.2,0.0,0.0,10.7,14.7,0.0,9.3,13.7,0.0,8.1,14.6,0.5,5.7,9.1,0.0,12.3,16.8,0.0,11.0,16.0,0.0,9.4,16.4,0.5,11.1,18.2,0.0,13.9,18.9,0.0,12.8,18.6,0.0,10.8,18.3,0.5,18.2,29.9,0.0,15.5,21.3,0.0,10.2,14.9,0.0,8.8,15.5,0.5,8.2,13.3,0.0,13.2,17.8,0.0
Qwen3-4B,21.5,26.0,0.2,33.3,49.8,15.6,10.5,4.1,0.0,23.3,30.0,0.0,25.8,30.1,0.2,34.8,53.1,16.1,23.5,21.7,0.1,27.9,33.6,0.0,30.0,34.2,0.2,36.4,56.4,16.7,36.5,39.2,0.2,32.6,37.1,0.0,31.8,38.8,0.2,37.7,59.9,17.2,49.0,59.9,0.4,33.8,41.0,0.0,30.1,32.1,0.2,35.7,54.7,16.4,30.7,30.0,0.2,33.5,35.3,0.0
Qwen3-8B,11.9,28.9,0.0,32.6,57.6,3.2,6.6,20.1,0.0,15.9,35.2,0.0,13.2,34.9,0.0,34.7,59.4,3.4,14.3,34.9,0.0,17.6,41.0,0.0,14.5,40.9,0.0,36.8,61.2,3.5,22.1,49.8,0.0,19.3,46.7,0.0,15.7,41.8,0.0,39.0,63.0,3.7,30.6,62.0,0.0,20.8,47.4,0.0,14.1,42.2,0.0,35.7,60.3,3.4,18.2,44.1,0.0,18.8,48.8,0.0
gemma-3-1b-it,5.7,0.1,0.0,8.0,0.0,0.0,0.4,0.0,0.0,5.7,0.0,0.0,6.5,0.1,0.0,9.4,0.0,0.0,4.3,0.1,0.0,6.4,0.1,0.0,7.3,0.2,0.0,10.7,0.0,0.0,8.2,0.2,0.0,7.2,0.2,0.0,8.2,0.3,0.0,12.2,0.0,0.0,13.4,0.4,0.0,8.0,0.3,0.0,6.9,0.2,0.0,10.0,0.0,0.0,6.0,0.1,0.0,6.8,0.2,0.0
